epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.22,1.43002,3.61392,1.16502,0.03568,0.94647,0.22932,0.16096,0.97326,3.69667,0.88898,0.000190842,0.000190842,0.000190842
2,514.571,1.15253,1.99726,1.00443,0.65638,0.2581,0.58244,0.4262,0.98386,2.66443,0.91496,0.000379183,0.000379183,0.000379183
3,730.478,1.10039,1.56075,0.98319,0.70611,0.65772,0.75948,0.5282,1.01982,1.88242,0.91895,0.000559762,0.000559762,0.000559762
4,1440.7,1.03846,1.30467,0.95929,0.77584,0.7725,0.86623,0.654,0.92951,1.22077,0.91911,0.000553073,0.000553073,0.000553073
5,2756.19,0.98266,1.13015,0.93734,0.90971,0.90501,0.96175,0.7242,0.92013,0.91474,0.91665,0.00054143,0.00054143,0.00054143
6,3219.22,0.9728,0.99942,0.93755,0.86384,0.84327,0.94547,0.72295,0.87173,1.1851,0.92539,0.000529788,0.000529788,0.000529788
7,3398.17,0.9772,0.94867,0.94451,0.93527,0.93987,0.98252,0.75658,0.87555,0.86738,0.91924,0.000518146,0.000518146,0.000518146
8,3576.29,0.91409,0.83901,0.92749,0.89331,0.9482,0.97508,0.76771,0.83141,0.83416,0.90983,0.000506503,0.000506503,0.000506503
9,3771.71,0.88924,0.7911,0.92288,0.97553,0.95982,0.98821,0.73369,0.98823,0.80865,0.96939,0.000494861,0.000494861,0.000494861
10,3978.25,0.89403,0.7628,0.92206,0.97277,0.98438,0.98608,0.75473,0.90893,0.76751,0.91571,0.000483218,0.000483218,0.000483218
11,4184.21,0.94074,0.76581,0.93129,0.97065,0.98891,0.98788,0.78296,0.81992,0.75083,0.90673,0.000471576,0.000471576,0.000471576
12,4379.59,0.86195,0.74613,0.92558,0.97301,0.98826,0.98356,0.75484,0.87541,0.74379,0.92594,0.000459934,0.000459934,0.000459934
13,4572.57,0.83571,0.7034,0.91361,0.98333,0.9789,0.98907,0.79907,0.77387,0.64074,0.89181,0.000448291,0.000448291,0.000448291
14,4764.81,0.87203,0.71663,0.92316,0.96917,0.98051,0.98758,0.75309,0.93698,0.71001,0.95309,0.000436649,0.000436649,0.000436649
15,4953.66,0.86531,0.70118,0.92358,0.97783,0.98817,0.98662,0.78504,0.81136,0.65415,0.90002,0.000425006,0.000425006,0.000425006
16,5150.59,0.83509,0.66256,0.90823,0.98268,0.9893,0.98891,0.80359,0.77002,0.60218,0.89096,0.000413364,0.000413364,0.000413364
17,5390.53,0.8041,0.63115,0.90251,0.98179,0.98701,0.98771,0.79279,0.79563,0.60271,0.90471,0.000401722,0.000401722,0.000401722
18,6787.69,0.81749,0.62652,0.90682,0.97525,0.98403,0.98804,0.79248,0.80489,0.59409,0.89945,0.000390079,0.000390079,0.000390079
19,34943.6,0.82483,0.63307,0.90858,0.98693,0.98381,0.99061,0.7844,0.82678,0.56772,0.90962,0.000378437,0.000378437,0.000378437
20,43114.4,0.82402,0.61297,0.90961,0.98647,0.99097,0.98991,0.77195,0.84445,0.56291,0.91435,0.000366794,0.000366794,0.000366794
21,43384.9,0.79464,0.59663,0.90245,0.98368,0.99032,0.99043,0.79964,0.77202,0.5523,0.89759,0.000355152,0.000355152,0.000355152
22,45585.1,0.77578,0.58227,0.89971,0.97443,0.98435,0.98967,0.80423,0.75079,0.57254,0.89048,0.00034351,0.00034351,0.00034351
23,45854.1,0.77373,0.5772,0.89396,0.9823,0.99203,0.98769,0.80479,0.75892,0.5437,0.8907,0.000331867,0.000331867,0.000331867
24,48017.8,0.77296,0.57188,0.89911,0.98547,0.98494,0.98956,0.80256,0.76322,0.53484,0.89085,0.000320225,0.000320225,0.000320225
25,61135.8,0.76167,0.55773,0.89402,0.9816,0.99009,0.98733,0.79133,0.81511,0.53706,0.91549,0.000308582,0.000308582,0.000308582
26,68185.5,0.78621,0.5637,0.90633,0.98779,0.99301,0.98666,0.79356,0.79693,0.53291,0.90857,0.00029694,0.00029694,0.00029694
27,75601.4,0.76635,0.55246,0.8948,0.98419,0.99077,0.98753,0.79625,0.77643,0.52159,0.8901,0.000285298,0.000285298,0.000285298
28,83323.7,0.76478,0.53955,0.89838,0.98335,0.99139,0.98637,0.79696,0.78542,0.50533,0.89739,0.000273655,0.000273655,0.000273655
29,83684.4,0.77752,0.53807,0.89396,0.98334,0.99163,0.98703,0.78786,0.81826,0.50497,0.91056,0.000262013,0.000262013,0.000262013
30,84040.6,0.76888,0.53183,0.89794,0.98795,0.99301,0.98912,0.81162,0.74678,0.48255,0.88745,0.00025037,0.00025037,0.00025037
31,84405.4,0.74501,0.51845,0.89034,0.98414,0.99032,0.98901,0.79315,0.77659,0.48623,0.89863,0.000238728,0.000238728,0.000238728
32,84775.9,0.74572,0.51816,0.89212,0.98835,0.99184,0.98865,0.81287,0.7594,0.48314,0.89038,0.000227086,0.000227086,0.000227086
33,85155.5,0.75419,0.51786,0.89705,0.98502,0.99006,0.98834,0.81144,0.74741,0.48424,0.88851,0.000215443,0.000215443,0.000215443
34,85536.2,0.73282,0.51317,0.88617,0.9872,0.99036,0.9871,0.81084,0.75179,0.48472,0.88527,0.000203801,0.000203801,0.000203801
35,85718.3,0.73005,0.50541,0.88892,0.98487,0.98947,0.98757,0.79869,0.7851,0.48059,0.89946,0.000192158,0.000192158,0.000192158
36,85854.2,0.74195,0.50272,0.893,0.98324,0.99192,0.98913,0.81466,0.74031,0.47555,0.88537,0.000180516,0.000180516,0.000180516
37,86213.6,0.72939,0.50045,0.89308,0.98576,0.99027,0.98747,0.81192,0.74526,0.47827,0.88514,0.000168874,0.000168874,0.000168874
38,86634.7,0.73831,0.49352,0.88953,0.98702,0.9902,0.98888,0.80516,0.74804,0.47026,0.8911,0.000157231,0.000157231,0.000157231
39,86990.3,0.72986,0.4907,0.88394,0.98485,0.99097,0.98847,0.80913,0.75395,0.46773,0.88827,0.000145589,0.000145589,0.000145589
40,87403.4,0.72453,0.48812,0.88557,0.98411,0.98892,0.9884,0.80977,0.73582,0.46134,0.88356,0.000133946,0.000133946,0.000133946
41,87759.6,0.69185,0.47361,0.88434,0.98787,0.98351,0.98877,0.79514,0.78346,0.47139,0.90057,0.000122304,0.000122304,0.000122304
42,88113.8,0.68475,0.46129,0.89084,0.98399,0.993,0.9883,0.79547,0.80439,0.47424,0.90741,0.000110662,0.000110662,0.000110662
43,88463.7,0.68296,0.45896,0.89354,0.98796,0.99301,0.98887,0.80882,0.76356,0.4538,0.8923,9.90192e-05,9.90192e-05,9.90192e-05
44,88728.9,0.67072,0.44588,0.88082,0.98752,0.99219,0.98905,0.79825,0.78637,0.45641,0.89925,8.73768e-05,8.73768e-05,8.73768e-05
